student_id,most_repeated_violation,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,avg_severity,will_reoffend_same_violation
S1339,"Possession or use of deadly weapons, explosives, prohibited drugs",4,3,0,1,8,1,0.567,1
S0243,"Grave threat on any student, personnel or administrator",5,3,1,0,9,1,0.583,1
S1764,Cybersecurity breach (plagiarism),6,1,1,1,9,1,0.5,0
S0384,Promoting or participating in immoral/indecent conduct on or off campus,1,3,0,0,4,1,0.383,0
S1761,"Purchase, sale or distribution of alcoholic beverages or cigarettes",1,3,1,1,6,1,0.533,1
S0041,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",1,0,1,1,3,0,0.183,0
S0134,Assault fellow students,1,0,1,1,3,1,0.233,0
S0220,"Cheating in examinations, projects, case reports and research papers of others",6,3,1,0,10,1,0.617,1
S1890,Conviction for a criminal offense by the administrator's judgment,2,2,0,0,4,1,0.317,1
S1875,"Cheating in examinations, projects, case reports and research papers of others",1,2,1,0,4,1,0.35,1
S1149,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",2,0,1,0,3,1,0.183,1
S0448,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",3,0,0,0,3,1,0.15,0
S2078,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,4,3,0,0,7,1,0.483,1
S0078,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",1,0,3,0,4,0,0.233,0
S0847,Circulating destructive language and statement that is against the school through any platform,2,3,1,1,7,1,0.567,0
S2165,Extortion or blackmailing or attempt,4,0,0,0,4,1,0.183,0
S2179,Engaging in premarital sex,3,1,1,0,5,1,0.317,1
S1276,Colored dyed color/hair/beard,2,0,0,1,3,0,0.15,0
S0759,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",6,0,2,1,9,0,0.417,0
S0016,Assault fellow students,5,0,0,0,5,1,0.217,1
S1411,Preventing normal operation (e.g. changing the configuration or BIOS setup of computers),6,2,1,0,9,1,0.517,1
S1211,Indecency in media,5,0,2,0,7,0,0.3,0
S2221,Gaining access to the school computer or computer network,6,1,1,0,8,1,0.417,1
S1168,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,1,0,1,1,3,0,0.183,0
S0047,"Grave threat on any student, personnel or administrator",1,3,0,0,4,1,0.383,0
S0991,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",3,2,1,0,6,1,0.417,0
S1825,Public display of affection in any places inside the campus or in social media,1,0,0,0,1,0,0.033,0
S0423,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",5,0,2,1,8,0,0.383,0
S1850,Leaving the classroom without permission during class hour and school activity,3,3,1,1,8,1,0.6,1
S1775,Indecency in media,2,0,2,0,4,0,0.2,0
S1630,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",3,0,0,1,4,1,0.233,1
S0939,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,6,0,0,1,7,0,0.283,0
S2337,"Falsification of official documents, test papers, clearances and confidential",2,1,1,0,4,1,0.283,1
S0573,Engaging in any form of gambling,1,1,0,0,2,1,0.183,0
S1905,Use of foul language,4,0,1,1,6,0,0.283,1
S1961,Extortion or blackmailing or attempt,4,3,0,1,8,1,0.567,1
S1139,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,5,0,2,1,8,0,0.383,0
S2448,Cybersecurity breach (plagiarism),2,1,1,1,5,1,0.367,0
S1749,Assault fellow students,6,0,0,1,7,1,0.333,1
S2498,Leaving the classroom without permission during class hour and school activity,6,1,0,0,7,1,0.35,0
S1542,Cybersecurity breach (plagiarism),6,1,0,1,8,1,0.433,0
S1304,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",4,0,2,1,7,0,0.35,0
S0982,"Display, possession or distribution of pornographic materials, downloading and uploading of pornographic pictures",5,0,1,0,6,1,0.283,1
S0067,Providing/financing parties for prohibited drugs,5,1,0,0,6,1,0.317,1
S1315,Organizing of groups for purpose of destroying school properties,6,1,0,1,8,1,0.433,1
S1735,Colored dyed color/hair/beard,2,0,1,0,3,0,0.133,1
S2125,Bringing outsiders to school for improper purpose,3,3,1,1,8,1,0.6,0
S0499,Lack of respect to faculty/authority,5,3,0,1,9,1,0.6,1
S1456,Public display of affection in any places inside the campus or in social media,6,0,2,1,9,0,0.417,0
S1946,Jumping over the fence,5,0,0,0,5,1,0.217,0
S1384,"Damage, destruction of network, computer or information (e.g., deleting someone else's file)",4,0,0,0,4,1,0.183,0
S1100,Extortion or blackmailing or attempt,5,1,0,1,7,1,0.4,0
S0973,Gaining access to the school computer or computer network,5,0,1,1,7,1,0.367,0
S0149,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,4,0,1,1,6,1,0.333,1
