student_id,most_repeated_violation,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,avg_severity,will_reoffend_same_violation
S1339,Unauthorized enrichment or stealing whether attempted or not,4,3,0,1,8,1,0.567,1
S0243,Not following prescribed hair cut (trendy/punk haircut),5,3,1,0,9,0,0.583,1
S1764,"Damage, destruction of network, computer or information system",6,1,1,1,9,1,0.5,0
S0384,Circulating destructive language and statement that defames,1,3,0,0,4,1,0.383,0
S1761,Engaging in any form of gambling,1,3,1,1,6,1,0.533,1
S0041,Indecency in media,1,0,1,1,3,0,0.183,0
S0134,Wearing inappropriate/incomplete uniform (No valid reason),1,0,1,1,3,0,0.233,0
S0220,Wearing inappropriate/incomplete uniform (No valid reason),6,3,1,0,10,0,0.617,1
S1890,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",2,2,0,0,4,0,0.317,1
S1875,Assault fellow students,1,2,1,0,4,1,0.35,1
S1149,"Grave threat on any student, personnel or administrator",2,0,1,0,3,1,0.183,1
S0448,Unbecoming attitude of an image as Pitikarts such as lewd conduct,3,0,0,0,3,1,0.15,0
S2078,Bringing dishonor to the name of school,4,3,0,0,7,1,0.483,1
S0078,Direct assault on any member of the school community,1,0,3,0,4,1,0.233,0
S0847,"Damage, destruction of network, computer or information system",2,3,1,1,7,1,0.567,0
S2165,"Wearing of heavy make-up or cosmetics (dark mascara, lipstick)",4,0,0,0,4,0,0.183,0
S2179,Gaining access to the school computer or computer system,3,1,1,0,5,1,0.317,1
S1276,Leaving the classroom without permission during class hours,2,0,0,1,3,1,0.15,0
S0759,Posting below or circulating destructive language or hate speech,6,0,2,1,9,1,0.417,0
S0016,"Engaging outside marriage, obscene and immoral conduct",5,0,0,0,5,1,0.217,1
S1411,Not following prescribed hair cut (trendy/punk haircut),6,2,1,0,9,0,0.517,1
S1211,Gaining access to the school computer or computer system,5,0,2,0,7,1,0.3,0
S2221,Colored nail polish,6,1,1,0,8,0,0.417,1
S1168,"Stealing property of the school, students, school personnel",1,0,1,1,3,1,0.183,0
S0047,Bullying (Cyber or otherwise) Faculty members/personnel,1,3,0,0,4,1,0.383,0
S0991,Leaving the classroom without permission during class hours,3,2,1,0,6,1,0.417,0
S1825,Leaving the classroom without permission during class hours,1,0,0,0,1,1,0.033,0
S0423,"Shouting, yelling boisterously, jeering, dropping materials",5,0,2,1,8,0,0.383,0
S1850,Posing of bikini pictures or other videos/body exposure online,3,3,1,1,8,0,0.6,1
S1775,"Altering information (e.g., changing the password or credentials)",2,0,2,0,4,1,0.2,0
S1630,"Stealing property of the school, students, school personnel",3,0,0,1,4,1,0.233,1
S0939,Engaging in premarital sex,6,0,0,1,7,1,0.283,0
S2337,Engaging in any form of gambling,2,1,1,0,4,1,0.283,1
S0573,Extortion or blackmailing or attempt,1,1,0,0,2,1,0.183,0
S1905,Bringing outsiders to school during school functions,4,0,1,1,6,1,0.283,1
S1961,Lack of respect to faculty/authority,4,3,0,1,8,1,0.567,1
S1139,"Falsification of official documents, test papers, records",5,0,2,1,8,1,0.383,0
S2448,Posting below or circulating destructive language or hate speech,2,1,1,1,5,1,0.367,0
S1749,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",6,0,0,1,7,0,0.333,1
S2498,Recruitment and/or membership in sororities and fraternities,6,1,0,0,7,1,0.35,0
S1542,Promoting or participating in immoral/indecent conduct,6,1,0,1,8,1,0.433,0
S1304,"Wearing of plunging necklines, backless, spaghetti straps",4,0,2,1,7,1,0.35,0
