student_id,most_repeated_violation,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,avg_severity,will_reoffend_same_violation,no_violation_count,behavior_ratio,next_repeated_violation
S00001,"Possession or use of deadly weapons, explosives, prohibited drugs",4,3,0,1,8,1,0.567,1,37,4.111,Wearing Of Heavy Make-up Or Cosmetics
S00002,"Grave threat on any student, personnel or administrator",5,3,1,0,9,1,0.583,1,24,2.4,Verbal Or Physical Altercation Between Students Or Group Of Students
S00003,Cybersecurity breach (plagiarism),6,1,1,1,9,1,0.5,0,32,3.2,Posing Of Bikini Pictures Or Other Videos/body Exposure Pictures Or Indecent Body Pictures
S00004,Promoting or participating in immoral/indecent conduct on or off campus,1,3,0,0,4,1,0.383,0,82,16.4,Shoplifting
S00005,"Purchase, sale or distribution of alcoholic beverages or cigarettes",1,3,1,1,6,1,0.533,1,52,7.429,Placing Of Stickers And Other Objects On School Id
S00006,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",1,0,1,1,3,0,0.183,0,76,19.0,Conviction For Criminal Offense
S00007,Assault fellow students,1,0,1,1,3,1,0.233,0,94,23.5,Placing Of Stickers And Other Objects On School Id
S00008,"Cheating in examinations, projects, case reports and research papers of others",6,3,1,0,10,1,0.617,1,24,2.182,Inciting Others To Violate School Regulations
S00009,Conviction for a criminal offense by the administrator's judgment,2,2,0,0,4,1,0.317,1,61,12.2,Financing Or Promoting Prohibited Drugs
S00010,"Cheating in examinations, projects, case reports and research papers of others",1,2,1,0,4,1,0.35,1,75,15.0,Leaving The Classroom Without Permission
S00011,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",2,0,1,0,3,1,0.183,1,72,18.0,Leaving The Classroom Without Permission
S00012,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",3,0,0,0,3,1,0.15,0,68,17.0,Stealing Property Of School Or Students
S00013,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,4,3,0,0,7,1,0.483,1,42,5.25,Wearing Of Heavy Make-up Or Cosmetics
S00014,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",1,0,3,0,4,0,0.233,0,56,11.2,Damage Or Deletion Of Files
S00015,Circulating destructive language and statement that is against the school through any platform,2,3,1,1,7,1,0.567,0,28,3.5,Circulating Destructive Language Against School
S00016,Extortion or blackmailing or attempt,4,0,0,0,4,1,0.183,0,58,11.6,Wearing Of Accessories Not Part Of The Daily Uniform
S00017,Engaging in premarital sex,3,1,1,0,5,1,0.317,1,49,8.167,Jumping Over The Fence
S00018,Colored dyed color/hair/beard,2,0,0,1,3,0,0.15,0,78,19.5,Immoral Conduct On Or Off Campus
S00019,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",6,0,2,1,9,0,0.417,0,19,1.9,Wearing Of Heavy Make-up Or Cosmetics
S00020,Assault fellow students,5,0,0,0,5,1,0.217,1,40,6.667,Lack Of Respect To Faculty/authority
S00021,Preventing normal operation (e.g. changing the configuration or BIOS setup of computers),6,2,1,0,9,1,0.517,1,39,3.9,Public Display Of Affection
S00022,Indecency in media,5,0,2,0,7,0,0.3,0,42,5.25,Viewing Pornographic Sites
S00023,Gaining access to the school computer or computer network,6,1,1,0,8,1,0.417,1,33,3.667,Posing Of Bikini Pictures Or Other Videos/body Exposure Pictures Or Indecent Body Pictures
S00024,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,1,0,1,1,3,0,0.183,0,64,16.0,Engaging In Trouble Outside Campus
S00025,"Grave threat on any student, personnel or administrator",1,3,0,0,4,1,0.383,0,61,12.2,Not Following Prescribed Hair Cut
S00026,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",3,2,1,0,6,1,0.417,0,53,7.571,Possession Or Use Of Deadly Weapons Or Drugs
S00027,Public display of affection in any places inside the campus or in social media,1,0,0,0,1,0,0.033,0,79,39.5,Introducing False Information Or Offensive Messages
S00028,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",5,0,2,1,8,0,0.383,0,41,4.556,Wearing Of Improper And Other Colored Pe Uniforms
S00029,Leaving the classroom without permission during class hour and school activity,3,3,1,1,8,1,0.6,1,30,3.333,Possession Of Pornographic Materials Or Uploading Pornographic Pictures
S00030,Indecency in media,2,0,2,0,4,0,0.2,0,69,13.8,Wearing Of Heavy Make-up Or Cosmetics
S00031,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",3,0,0,1,4,1,0.233,1,59,11.8,Assault Fellow Students
S00032,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,6,0,0,1,7,0,0.283,0,57,7.125,Circulating Destructive Language Against School
S00033,"Falsification of official documents, test papers, clearances and confidential",2,1,1,0,4,1,0.283,1,68,13.6,Lack Of Respect To Faculty/authority
S00034,Engaging in any form of gambling,1,1,0,0,2,1,0.183,0,72,24.0,Drug Pushing
S00035,Use of foul language,4,0,1,1,6,0,0.283,1,60,8.571,Indecency In Media
S00036,Extortion or blackmailing or attempt,4,3,0,1,8,1,0.567,1,20,2.222,Lending/borrowing School Id As Pass
S00037,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,5,0,2,1,8,0,0.383,0,40,4.444,Bringing Outsiders To School For Improper Purpose
S00038,Cybersecurity breach (plagiarism),2,1,1,1,5,1,0.367,0,42,7.0,Cybersecurity Breach (Plagiarism)
S00039,Assault fellow students,6,0,0,1,7,1,0.333,1,25,3.125,Introducing False Information Or Offensive Messages
S00040,Leaving the classroom without permission during class hour and school activity,6,1,0,0,7,1,0.35,0,39,4.875,Failure To Comply With Investigation Requirements
S00041,Cybersecurity breach (plagiarism),6,1,0,1,8,1,0.433,0,38,4.222,Colored Dyed Color/hair/beard
S00042,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",4,0,2,1,7,0,0.35,0,48,6.0,Bullying Students/fellow Students - Verbally/written
