violation_id,most_repeated_violation,violation_type,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,no_violation_count,avg_severity,behavior_ratio,incident_density,major_ratio,stability_score,severity_factor,incident_gap_ratio,next_repeated_violation,will_reoffend_same_violation
1,Unexcused Tardiness/absence From Class,Minor,7,0,1,1,9,0,20,0.46,0.667,0.8,0.5,0.33299999999999996,0.322,2.1,Major Violation 71,1
2,"Wearing Inappropriate/incomplete Uniform (no Validated Id, Flat Shoes, Colored Pants, Colored T-shirt, No/old Socks)",Minor,4,0,3,2,26,0,38,0.267,0.585,0.2222222222222222,0.25,0.41500000000000004,0.1869,1.4444444444444444,Major Violation 45,0
3,Wearing Of Improper And Other Colored Pe Uniforms,Minor,8,1,3,1,27,0,45,0.318,0.616,0.32142857142857145,0.5,0.384,0.2226,1.6428571428571428,"Wearing Of Ripped/distressed Jeans, Crop Top, Sleeveless, Backless, Off-shoulder, See-through Blouses, Spaghetti Strap, Tube Top, Body Cone, Mini Skirt, Open Toe Shoes",0
4,"Wearing Of Ripped/distressed Jeans, Crop Top, Sleeveless, Backless, Off-shoulder, See-through Blouses, Spaghetti Strap, Tube Top, Body Cone, Mini Skirt, Open Toe Shoes",Minor,5,1,3,0,7,0,34,0.812,0.81,0.625,0.5,0.18999999999999995,0.5684,4.375,Major Violation 36,1
5,Wearing Of Accessories Not Part Of The Daily Uniform (e.g. Multiple Pairs Of Earrings For Females),Minor,7,0,2,0,16,0,30,0.241,0.638,0.4117647058823529,0.3333333333333333,0.362,0.1687,1.8235294117647058,Major Violation 70,1
6,"Wearing Of Heavy Make-up Or Cosmetics (dark Mascara, Eyeliner, Lipsticks, Eye Shadows, Facial Make-up)",Minor,3,0,3,1,20,0,45,0.257,0.682,0.19047619047619047,0.25,0.31799999999999995,0.1799,2.1904761904761907,Major Violation 31,0
7,"Wearing Of Scarves, Patches, Caps",Minor,7,1,3,2,23,0,19,0.421,0.442,0.375,0.5,0.558,0.29469999999999996,0.8333333333333334,Indecency In Media,1
8,Wearing And Using Of Electronic Headset And/or Audio/electronic Gadgets And Tools During Class Without Teacher's Permission,Minor,8,0,3,0,9,0,46,0.54,0.821,0.8,0.25,0.17900000000000005,0.378,4.7,Major Violation 61,0
9,"Wearing Of School Uniform/program Uniform Improperly (e.g. Club Shirt, Outing, Internet Places)",Minor,5,0,3,0,26,0,18,0.167,0.4,0.18518518518518517,0.25,0.6,0.1169,0.7037037037037037,Major Violation 54,0
10,Colored Nail Polish,Minor,4,0,1,0,29,0,33,0.073,0.524,0.13333333333333333,0.5,0.476,0.05109999999999999,1.1333333333333333,Major Violation 39,0
11,Colored Dyed Color/hair/beard,Minor,8,1,1,1,18,0,44,0.363,0.698,0.47368421052631576,1.0,0.30200000000000005,0.2541,2.3684210526315788,Major Violation 74,1
12,"Not Following Prescribed Hair Cut (trendy/punk Haircut, Long Hair And Bearded, Mohawk, Top Knot, Skinhead)",Minor,8,1,3,1,9,0,44,0.89,0.815,0.9,0.5,0.18500000000000005,0.623,4.5,Indecency In Media,1
13,"Not Attending School Function/activities (mass/novena, Program/forum, Seminar/symposium, Ge/sg, Alc)",Minor,3,1,2,2,19,0,45,0.395,0.692,0.25,0.6666666666666666,0.30800000000000005,0.27649999999999997,2.3,Major Violation 39,1
14,"Shouting, Yelling Boisterously, Jeering, Dropping Insults And Other Noises During Class Sessions, Corridors, Guidance And Public Places",Minor,6,0,1,2,21,0,27,0.264,0.551,0.36363636363636365,0.5,0.44899999999999995,0.1848,1.2727272727272727,Major Violation 67,1
15,"Littering The Campus (candy Wrappers, Bottles, Plastic Materials)",Minor,5,0,3,2,18,0,48,0.395,0.716,0.3684210526315789,0.25,0.28400000000000003,0.27649999999999997,2.5789473684210527,Major Violation 45,1
16,Placing Of Stickers And Other Objects On School Id,Minor,2,1,1,1,24,0,41,0.204,0.621,0.12,1.0,0.379,0.14279999999999998,1.68,"Not Attending School Function/activities (mass/novena, Program/forum, Seminar/symposium, Ge/sg, Alc)",0
17,Posing Of Bikini Pictures Or Other Videos/body Exposure Pictures Or Indecent Body Pictures,Minor,8,1,1,1,9,0,33,0.69,0.767,0.9,1.0,0.23299999999999998,0.48299999999999993,3.4,Major Violation 58,0
18,Public Display Of Affection In Any Places Inside The Campus Or In Social Media,Minor,6,1,2,2,16,0,32,0.518,0.653,0.47058823529411764,0.6666666666666666,0.347,0.3626,1.9411764705882353,Use Of Foul Language,0
19,Indecency In Media,Minor,2,1,3,2,20,0,41,0.41,0.661,0.19047619047619047,0.5,0.33899999999999997,0.287,2.0,Major Violation 72,0
20,Use Of Foul Language,Minor,5,0,3,1,20,0,46,0.286,0.687,0.2857142857142857,0.25,0.31299999999999994,0.20019999999999996,2.238095238095238,Major Violation 61,1
21,"A Student Caught Lending, Borrowing, Using Another Person’s Id/ssp",Minor,1,1,2,2,25,0,21,0.281,0.447,0.11538461538461539,0.6666666666666666,0.5529999999999999,0.1967,0.8461538461538461,Major Violation 39,0
22,Major Violation 22,Major,6,3,1,0,11,1,22,0.733,0.647,0.5,2.0,0.353,0.8130999999999999,1.9166666666666667,Unexcused Tardiness/absence From Class,1
23,Major Violation 23,Major,9,1,0,1,8,1,32,0.689,0.78,1.1111111111111112,2.0,0.21999999999999997,0.7823,3.6666666666666665,Wearing Of Improper And Other Colored Pe Uniforms,0
24,Major Violation 24,Major,1,3,1,2,5,1,34,1.0,0.85,0.5,2.0,0.15000000000000002,1.0,5.833333333333333,Major Violation 77,1
25,Major Violation 25,Major,3,2,0,1,9,1,44,0.64,0.815,0.4,3.0,0.18500000000000005,0.748,4.5,Major Violation 62,1
26,Major Violation 26,Major,7,3,1,0,27,1,39,0.325,0.582,0.25,2.0,0.41800000000000004,0.5275,1.4285714285714286,Major Violation 63,0
27,Major Violation 27,Major,4,1,0,1,14,1,26,0.313,0.634,0.3333333333333333,2.0,0.366,0.5191,1.8,Major Violation 25,0
28,Major Violation 28,Major,9,1,1,1,26,1,29,0.267,0.518,0.37037037037037035,1.0,0.482,0.4869,1.1111111111111112,Major Violation 56,0
29,Major Violation 29,Major,3,2,0,1,9,1,34,0.64,0.773,0.4,3.0,0.22699999999999998,0.748,3.5,Major Violation 33,0
30,Major Violation 30,Major,5,3,0,1,8,1,31,1.0,0.775,0.6666666666666666,4.0,0.22499999999999998,1.0,3.5555555555555554,Major Violation 38,1
31,Major Violation 31,Major,3,3,1,0,6,1,22,1.0,0.759,0.42857142857142855,2.0,0.241,1.0,3.2857142857142856,"Wearing Of Heavy Make-up Or Cosmetics (dark Mascara, Eyeliner, Lipsticks, Eye Shadows, Facial Make-up)",0
32,Major Violation 32,Major,7,2,0,1,24,1,28,0.304,0.528,0.32,3.0,0.472,0.5127999999999999,1.16,Major Violation 58,0
33,Major Violation 33,Major,5,3,0,1,14,1,45,0.6,0.75,0.4,4.0,0.25,0.72,3.066666666666667,Major Violation 44,1
34,Major Violation 34,Major,9,3,1,2,23,1,21,0.529,0.467,0.4583333333333333,2.0,0.5329999999999999,0.6703,0.9166666666666666,Major Violation 45,0
35,Major Violation 35,Major,7,1,0,1,5,1,28,0.933,0.824,1.3333333333333333,2.0,0.17600000000000005,0.9531000000000001,4.833333333333333,Major Violation 32,0
36,Major Violation 36,Major,2,3,0,2,28,1,21,0.331,0.42,0.13793103448275862,4.0,0.5800000000000001,0.5317,0.7586206896551724,Major Violation 45,0
37,Major Violation 37,Major,4,3,0,0,9,1,18,0.72,0.643,0.4,4.0,0.357,0.804,1.9,Major Violation 61,0
38,Major Violation 38,Major,9,2,1,0,17,1,16,0.428,0.471,0.5,1.5,0.529,0.5995999999999999,0.9444444444444444,Major Violation 47,0
39,Major Violation 39,Major,2,2,0,0,8,1,37,0.511,0.804,0.2222222222222222,3.0,0.19599999999999995,0.6577,4.222222222222222,"A Student Caught Lending, Borrowing, Using Another Person’s Id/ssp",1
40,Major Violation 40,Major,9,1,1,0,20,1,23,0.271,0.523,0.42857142857142855,1.0,0.477,0.4897,1.1428571428571428,Major Violation 80,0
41,Major Violation 41,Major,5,3,0,2,28,1,40,0.362,0.58,0.2413793103448276,4.0,0.42000000000000004,0.5533999999999999,1.4137931034482758,Major Violation 75,0
42,Major Violation 42,Major,2,3,0,1,20,1,28,0.386,0.571,0.14285714285714285,4.0,0.42900000000000005,0.5702,1.380952380952381,Major Violation 36,0
43,Major Violation 43,Major,4,3,0,0,27,1,25,0.257,0.472,0.14285714285714285,4.0,0.528,0.4799,0.9285714285714286,Indecency In Media,0
44,Major Violation 44,Major,7,1,1,1,6,1,14,0.943,0.667,1.1428571428571428,1.0,0.33299999999999996,0.9601,2.142857142857143,Use Of Foul Language,0
45,Major Violation 45,Major,8,1,0,2,21,1,44,0.336,0.667,0.45454545454545453,2.0,0.33299999999999996,0.5352,2.0454545454545454,Major Violation 57,1
46,Major Violation 46,Major,3,2,0,2,24,1,21,0.316,0.457,0.2,3.0,0.5429999999999999,0.5212,0.88,Public Display Of Affection In Any Places Inside The Campus Or In Social Media,0
47,Major Violation 47,Major,1,1,1,2,28,1,34,0.217,0.54,0.10344827586206896,1.0,0.45999999999999996,0.45189999999999997,1.206896551724138,Major Violation 47,1
48,Major Violation 48,Major,4,3,0,0,16,1,30,0.424,0.638,0.23529411764705882,4.0,0.362,0.5968,1.8235294117647058,Major Violation 49,1
49,Major Violation 49,Major,2,3,1,1,22,1,45,0.396,0.662,0.13043478260869565,2.0,0.33799999999999997,0.5771999999999999,2.0,"Shouting, Yelling Boisterously, Jeering, Dropping Insults And Other Noises During Class Sessions, Corridors, Guidance And Public Places",0
50,Major Violation 50,Major,8,1,1,1,7,1,32,0.863,0.8,1.125,1.0,0.19999999999999996,0.9040999999999999,4.125,"Littering The Campus (candy Wrappers, Bottles, Plastic Materials)",0
51,Major Violation 51,Major,4,3,0,1,5,1,25,1.0,0.806,0.8333333333333334,4.0,0.19399999999999995,1.0,4.333333333333333,Major Violation 31,0
52,Major Violation 52,Major,2,3,1,2,5,1,48,1.0,0.889,0.6666666666666666,2.0,0.11099999999999999,1.0,8.166666666666666,Unexcused Tardiness/absence From Class,0
53,Major Violation 53,Major,6,1,0,0,23,1,48,0.158,0.667,0.25,2.0,0.33299999999999996,0.41059999999999997,2.0416666666666665,Major Violation 54,1
54,Major Violation 54,Major,6,1,1,2,15,1,23,0.487,0.59,0.5,1.0,0.41000000000000003,0.6409,1.5,Wearing Of Improper And Other Colored Pe Uniforms,0
55,Major Violation 55,Major,4,3,1,2,9,1,40,1.0,0.8,0.6,2.0,0.19999999999999996,1.0,4.1,Placing Of Stickers And Other Objects On School Id,0
56,Major Violation 56,Major,6,3,0,1,16,1,14,0.547,0.452,0.4117647058823529,4.0,0.548,0.6829000000000001,0.8823529411764706,Major Violation 57,0
57,Major Violation 57,Major,2,3,1,2,7,1,44,1.0,0.846,0.5,2.0,0.15400000000000003,1.0,5.625,Major Violation 75,0
58,Major Violation 58,Major,2,2,1,1,5,1,32,1.0,0.842,0.5,1.5,0.15800000000000003,1.0,5.5,"Not Following Prescribed Hair Cut (trendy/punk Haircut, Long Hair And Bearded, Mohawk, Top Knot, Skinhead)",0
59,Major Violation 59,Major,4,2,1,0,5,1,38,1.0,0.864,0.6666666666666666,1.5,0.136,1.0,6.5,Major Violation 74,0
60,Major Violation 60,Major,8,2,1,1,12,1,20,0.685,0.606,0.6923076923076923,1.5,0.394,0.7795,1.6153846153846154,Placing Of Stickers And Other Objects On School Id,1
61,Major Violation 61,Major,7,1,1,0,14,1,27,0.34,0.643,0.4666666666666667,1.0,0.357,0.538,1.8666666666666667,Major Violation 72,1
62,Major Violation 62,Major,9,2,0,1,15,1,21,0.512,0.568,0.625,3.0,0.43200000000000005,0.6584,1.375,Major Violation 76,0
63,Major Violation 63,Major,8,1,1,2,16,1,18,0.494,0.514,0.5882352941176471,1.0,0.486,0.6457999999999999,1.1176470588235294,Major Violation 24,0
64,Major Violation 64,Major,5,1,0,2,17,1,19,0.361,0.514,0.3888888888888889,2.0,0.486,0.5527,1.1111111111111112,Major Violation 28,0
65,Major Violation 65,Major,2,2,1,0,16,1,26,0.329,0.605,0.11764705882352941,1.5,0.395,0.5303,1.588235294117647,Wearing And Using Of Electronic Headset And/or Audio/electronic Gadgets And Tools During Class Without Teacher's Permission,1
66,Major Violation 66,Major,5,2,0,0,18,1,47,0.289,0.712,0.2631578947368421,3.0,0.28800000000000003,0.5023,2.526315789473684,Major Violation 36,0
67,Major Violation 67,Major,8,2,0,0,6,1,16,0.914,0.696,1.1428571428571428,3.0,0.30400000000000005,0.9398,2.4285714285714284,Wearing And Using Of Electronic Headset And/or Audio/electronic Gadgets And Tools During Class Without Teacher's Permission,1
68,Major Violation 68,Major,9,3,1,1,23,1,22,0.467,0.478,0.4166666666666667,2.0,0.522,0.6269,0.9583333333333334,Major Violation 58,0
69,Major Violation 69,Major,9,2,1,1,22,1,49,0.4,0.681,0.43478260869565216,1.5,0.31899999999999995,0.58,2.1739130434782608,Major Violation 60,0
70,Major Violation 70,Major,1,3,1,0,7,1,18,0.912,0.692,0.125,2.0,0.30800000000000005,0.9383999999999999,2.375,Major Violation 50,0
71,Major Violation 71,Major,9,1,0,2,27,1,36,0.275,0.562,0.39285714285714285,2.0,0.43799999999999994,0.4925,1.3214285714285714,Major Violation 28,0
72,Major Violation 72,Major,7,3,1,1,21,1,11,0.482,0.333,0.36363636363636365,2.0,0.667,0.6374,0.5454545454545454,Major Violation 41,1
73,Major Violation 73,Major,9,2,0,1,12,1,14,0.631,0.519,0.7692307692307693,3.0,0.481,0.7417,1.1538461538461537,Major Violation 64,1
74,Major Violation 74,Major,8,1,0,1,14,1,38,0.393,0.717,0.6,2.0,0.28300000000000003,0.5751,2.6,Major Violation 27,0
75,Major Violation 75,Major,1,1,0,0,6,1,46,0.329,0.868,0.14285714285714285,2.0,0.132,0.5303,6.714285714285714,Major Violation 63,0
76,Major Violation 76,Major,8,1,1,0,23,1,47,0.225,0.662,0.3333333333333333,1.0,0.33799999999999997,0.4575,2.0,Posing Of Bikini Pictures Or Other Videos/body Exposure Pictures Or Indecent Body Pictures,1
77,Major Violation 77,Major,8,3,1,0,13,1,28,0.671,0.667,0.5714285714285714,2.0,0.33299999999999996,0.7697,2.0714285714285716,Major Violation 73,1
78,Major Violation 78,Major,3,2,0,0,11,1,17,0.408,0.586,0.25,3.0,0.41400000000000003,0.5855999999999999,1.5,Major Violation 33,1
79,Major Violation 79,Major,1,1,0,0,8,1,10,0.256,0.526,0.1111111111111111,2.0,0.474,0.47919999999999996,1.2222222222222223,Major Violation 77,1
