frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,no_violation_count,avg_severity,behavior_ratio,next_repeated_violation
15,3,1,0,11,1,8,0.636,1.667,Unexcused Tardiness/absence From Class
8,0,0,2,12,1,5,0.0,1.333,Unexcused Tardiness/absence From Class
14,4,7,2,29,0,14,0.517,0.933,Unexcused Tardiness/absence From Class
17,0,7,0,13,1,1,0.538,8.5,Unexcused Tardiness/absence From Class
6,2,3,0,18,1,8,0.389,0.667,Unexcused Tardiness/absence From Class
18,0,5,2,25,0,3,0.2,4.5,Unexcused Tardiness/absence From Class
7,1,4,1,23,0,8,0.261,0.778,Unexcused Tardiness/absence From Class
20,1,5,1,16,1,5,0.438,3.333,Unexcused Tardiness/absence From Class
5,3,4,1,28,1,12,0.357,0.385,Unexcused Tardiness/absence From Class
19,1,3,2,4,0,14,1.25,1.267,Unexcused Tardiness/absence From Class
17,4,6,0,16,0,15,0.875,1.062,Unexcused Tardiness/absence From Class
16,3,6,1,19,1,12,0.632,1.231,Unexcused Tardiness/absence From Class
7,2,8,1,17,1,8,0.706,0.778,Unexcused Tardiness/absence From Class
17,1,6,2,25,1,4,0.32,3.4,Unexcused Tardiness/absence From Class
1,0,6,1,16,0,6,0.375,0.143,Unexcused Tardiness/absence From Class
13,2,7,0,5,0,7,2.2,1.625,Unexcused Tardiness/absence From Class
17,4,3,0,10,0,5,1.1,2.833,Unexcused Tardiness/absence From Class
15,2,7,1,8,0,3,1.375,3.75,Unexcused Tardiness/absence From Class
11,3,1,2,22,1,13,0.318,0.786,Unexcused Tardiness/absence From Class
12,5,1,0,8,1,0,1.375,12.0,Unexcused Tardiness/absence From Class
12,2,2,1,27,1,9,0.222,1.2,Unexcused Tardiness/absence From Class
15,4,4,0,23,0,0,0.522,15.0,Unexcused Tardiness/absence From Class
6,5,6,2,26,0,7,0.615,0.75,Unexcused Tardiness/absence From Class
6,5,3,2,23,1,3,0.565,1.5,Unexcused Tardiness/absence From Class
2,4,1,1,25,0,15,0.36,0.125,Unexcused Tardiness/absence From Class
20,0,3,1,11,1,15,0.273,1.25,Unexcused Tardiness/absence From Class
12,5,6,2,9,0,14,1.778,0.8,Unexcused Tardiness/absence From Class
5,2,6,2,9,1,9,1.111,0.5,Unexcused Tardiness/absence From Class
8,0,4,0,13,1,6,0.308,1.143,Unexcused Tardiness/absence From Class
18,4,0,0,9,1,5,0.889,3.0,Unexcused Tardiness/absence From Class
12,5,3,1,29,0,3,0.448,3.0,Unexcused Tardiness/absence From Class
19,1,4,1,6,0,3,1.0,4.75,Unexcused Tardiness/absence From Class
9,5,1,2,19,1,0,0.579,9.0,Unexcused Tardiness/absence From Class
12,4,5,1,13,1,11,1.0,1.0,Unexcused Tardiness/absence From Class
14,2,2,2,27,1,1,0.222,7.0,Unexcused Tardiness/absence From Class
16,3,4,2,6,0,1,1.667,8.0,Unexcused Tardiness/absence From Class
15,0,7,0,27,1,8,0.259,1.667,Unexcused Tardiness/absence From Class
10,5,5,2,19,0,7,0.789,1.25,Unexcused Tardiness/absence From Class
11,0,7,0,18,1,4,0.389,2.2,Unexcused Tardiness/absence From Class
15,5,0,0,28,0,6,0.357,2.143,Unexcused Tardiness/absence From Class
3,3,6,2,21,1,2,0.571,1.0,Unexcused Tardiness/absence From Class
11,4,3,0,18,1,0,0.611,11.0,Unexcused Tardiness/absence From Class
13,1,5,0,20,1,2,0.35,4.333,Unexcused Tardiness/absence From Class
14,3,3,1,24,0,10,0.375,1.273,Unexcused Tardiness/absence From Class
5,1,6,2,21,0,0,0.381,5.0,Unexcused Tardiness/absence From Class
10,5,3,2,12,1,0,1.083,10.0,Unexcused Tardiness/absence From Class
2,4,8,1,20,0,2,0.8,0.667,Unexcused Tardiness/absence From Class
15,5,8,1,11,0,0,1.636,15.0,Unexcused Tardiness/absence From Class
15,2,7,0,4,0,9,2.75,1.5,Unexcused Tardiness/absence From Class
7,1,7,0,21,1,0,0.429,7.0,Unexcused Tardiness/absence From Class
2,1,5,2,23,1,5,0.304,0.333,Unexcused Tardiness/absence From Class
6,1,1,1,19,1,6,0.158,0.857,Unexcused Tardiness/absence From Class
8,1,2,2,25,0,11,0.16,0.667,Unexcused Tardiness/absence From Class
14,2,0,0,25,0,6,0.16,2.0,Unexcused Tardiness/absence From Class
1,3,5,0,20,1,14,0.55,0.067,Unexcused Tardiness/absence From Class
2,1,0,1,22,0,10,0.091,0.182,Unexcused Tardiness/absence From Class
17,5,4,1,15,1,6,0.933,2.429,Unexcused Tardiness/absence From Class
10,0,3,0,5,0,15,0.6,0.625,Unexcused Tardiness/absence From Class
1,1,3,1,20,1,13,0.25,0.071,Unexcused Tardiness/absence From Class
6,4,5,2,27,0,7,0.481,0.75,Unexcused Tardiness/absence From Class
4,4,2,2,7,1,5,1.429,0.667,Unexcused Tardiness/absence From Class
18,2,8,2,29,1,14,0.414,1.2,Unexcused Tardiness/absence From Class
6,1,2,1,16,1,0,0.25,6.0,Unexcused Tardiness/absence From Class
5,3,3,1,15,0,5,0.6,0.833,Unexcused Tardiness/absence From Class
13,0,6,0,21,0,5,0.286,2.167,Unexcused Tardiness/absence From Class
3,0,0,2,21,0,5,0.0,0.5,Unexcused Tardiness/absence From Class
14,3,5,2,28,0,15,0.393,0.875,Unexcused Tardiness/absence From Class
19,1,3,0,3,0,12,1.667,1.462,Unexcused Tardiness/absence From Class
9,1,7,1,23,1,2,0.391,3.0,Unexcused Tardiness/absence From Class
6,2,4,2,26,1,13,0.308,0.429,Unexcused Tardiness/absence From Class
17,4,5,1,27,1,11,0.481,1.417,Unexcused Tardiness/absence From Class
7,3,5,2,15,0,11,0.733,0.583,Unexcused Tardiness/absence From Class
20,5,8,2,17,0,0,1.059,20.0,Unexcused Tardiness/absence From Class
2,4,5,1,6,1,8,2.167,0.222,Unexcused Tardiness/absence From Class
10,5,8,1,25,1,2,0.72,3.333,Unexcused Tardiness/absence From Class
12,2,1,2,12,0,15,0.417,0.75,Unexcused Tardiness/absence From Class
1,4,6,0,17,0,11,0.824,0.083,Unexcused Tardiness/absence From Class
10,2,5,0,30,0,15,0.3,0.625,Unexcused Tardiness/absence From Class
1,0,1,1,14,1,2,0.071,0.333,Unexcused Tardiness/absence From Class
2,2,4,1,25,0,13,0.32,0.143,Unexcused Tardiness/absence From Class
20,4,5,1,16,0,1,0.812,10.0,Unexcused Tardiness/absence From Class
8,1,8,1,3,1,1,3.333,4.0,Unexcused Tardiness/absence From Class
18,1,1,2,25,0,13,0.12,1.286,Unexcused Tardiness/absence From Class
12,2,3,0,6,0,9,1.167,1.2,Unexcused Tardiness/absence From Class
13,0,5,0,23,1,11,0.217,1.083,Unexcused Tardiness/absence From Class
16,4,7,2,7,0,3,2.143,4.0,Unexcused Tardiness/absence From Class
20,1,8,1,30,1,12,0.333,1.538,Unexcused Tardiness/absence From Class
20,0,6,1,11,1,3,0.545,5.0,Unexcused Tardiness/absence From Class
6,4,0,0,4,1,0,2.0,6.0,Unexcused Tardiness/absence From Class
3,2,0,1,25,0,14,0.16,0.2,Unexcused Tardiness/absence From Class
8,3,0,0,21,0,7,0.286,1.0,Unexcused Tardiness/absence From Class
20,3,2,1,20,0,0,0.4,20.0,Unexcused Tardiness/absence From Class
