student_id,most_repeated_violation,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,avg_severity,will_reoffend_same_violation,no_violation_count,behavior_ratio,next_repeated_violation
S00001,"Possession or use of deadly weapons, explosives, prohibited drugs",4,3,0,1,8,1,0.567,1,37,4.111,Wearing And Using Of Electronic Headset And/or Audio/electronic Gadgets And Tools During Class Without Teacher's Permission
S00002,"Grave threat on any student, personnel or administrator",5,3,1,0,9,1,0.583,1,24,2.4,Assault Fellow Students
S00003,Cybersecurity breach (plagiarism),6,1,1,1,9,1,0.5,0,32,3.2,"Grave Threat On Any Student, Personnel Or Administrator"
S00004,Promoting or participating in immoral/indecent conduct on or off campus,1,3,0,0,4,1,0.383,0,82,16.4,Pushing Of Prohibited Drugs
S00005,"Purchase, sale or distribution of alcoholic beverages or cigarettes",1,3,1,1,6,1,0.533,1,52,7.429,Engaging In Premarital Sex
S00006,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",1,0,1,1,3,0,0.183,0,76,19.0,Providing/financing Parties For Prohibited Drugs
S00007,Assault fellow students,1,0,1,1,3,1,0.233,0,94,23.5,Real Acts Of Threat (major/minor) That Constitute Incompatibility
S00008,"Cheating in examinations, projects, case reports and research papers of others",6,3,1,0,10,1,0.617,1,24,2.182,"Vandalism, Destruction Of School Properties"
S00009,Conviction for a criminal offense by the administrator's judgment,2,2,0,0,4,1,0.317,1,61,12.2,Bringing Outsiders To School During School Function/activity
S00010,"Cheating in examinations, projects, case reports and research papers of others",1,2,1,0,4,1,0.35,1,75,15.0,Forgery
S00011,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",2,0,1,0,3,1,0.183,1,72,18.0,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
S00012,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",3,0,0,0,3,1,0.15,0,68,17.0,Engaging In Any Form Of Gambling
S00013,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,4,3,0,0,7,1,0.483,1,42,5.25,Unexcused Tardiness/absence From Class
S00014,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",1,0,3,0,4,0,0.233,0,56,11.2,"Insubordination To Authorities, Supervisors, And Personnel, Faculty Members Verbally, In Writing, Physically And Slander/oral Defamation"
S00015,Circulating destructive language and statement that is against the school through any platform,2,3,1,1,7,1,0.567,0,28,3.5,Bullying (cyber Or Otherwise) Faculty Members/personnel
S00016,Extortion or blackmailing or attempt,4,0,0,0,4,1,0.183,0,58,11.6,"Shouting, Yelling Boisterously, Jeering, Dropping Insults And Other Noises During Class Sessions, Corridors, Guidance And Public Places"
S00017,Engaging in premarital sex,3,1,1,0,5,1,0.317,1,49,8.167,"Engaging Outside Marriage, Obscene And Immoral Conduct In And Off Campus"
S00018,Colored dyed color/hair/beard,2,0,0,1,3,0,0.15,0,78,19.5,Bringing Outsiders To School For Improper Purpose
S00019,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",6,0,2,1,9,0,0.417,0,19,1.9,Extortion Or Blackmailing Or Attempt
S00020,Assault fellow students,5,0,0,0,5,1,0.217,1,40,6.667,Cybersecurity Breach (plagiarism)
S00021,Preventing normal operation (e.g. changing the configuration or BIOS setup of computers),6,2,1,0,9,1,0.517,1,39,3.9,Cybersecurity Breach (plagiarism)
S00022,Indecency in media,5,0,2,0,7,0,0.3,0,42,5.25,Wearing Of Accessories Not Part Of The Daily Uniform (e.g. Multiple Pairs Of Earrings For Females)
S00023,Gaining access to the school computer or computer network,6,1,1,0,8,1,0.417,1,33,3.667,Real Acts Of Threat (major/minor) That Constitute Incompatibility
S00024,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,1,0,1,1,3,0,0.183,0,64,16.0,Unexcused Tardiness/absence From Class
S00025,"Grave threat on any student, personnel or administrator",1,3,0,0,4,1,0.383,0,61,12.2,"Wearing Of School Uniform/program Uniform Improperly (e.g. Club Shirt, Outing, Internet Places)"
S00026,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",3,2,1,0,6,1,0.417,0,53,7.571,Using Another Person's Identity
S00027,Public display of affection in any places inside the campus or in social media,1,0,0,0,1,0,0.033,0,79,39.5,Leaving The Classroom Without Permission During Class Hour And School Activity
S00028,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",5,0,2,1,8,0,0.383,0,41,4.556,"Grave Threat On Any Student, Personnel Or Administrator"
S00029,Leaving the classroom without permission during class hour and school activity,3,3,1,1,8,1,0.6,1,30,3.333,Promoting Or Participating In Immoral/indecent Conduct On Or Off Campus
S00030,Indecency in media,2,0,2,0,4,0,0.2,0,69,13.8,"Wearing Of Heavy Make-up Or Cosmetics (dark Mascara, Eyeliner, Lipsticks, Eye Shadows, Facial Make-up)"
S00031,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",3,0,0,1,4,1,0.233,1,59,11.8,Indecency In Media
S00032,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,6,0,0,1,7,0,0.283,0,57,7.125,Assault Fellow Students
S00033,"Falsification of official documents, test papers, clearances and confidential",2,1,1,0,4,1,0.283,1,68,13.6,Wilful Failure To Comply With Promises Or Notices Issued For Purposes Of Investigation In Connection With Conducted Trial Of Offense
S00034,Engaging in any form of gambling,1,1,0,0,2,1,0.183,0,72,24.0,Wearing And Using Of Electronic Headset And/or Audio/electronic Gadgets And Tools During Class Without Teacher's Permission
S00035,Use of foul language,4,0,1,1,6,0,0.283,1,60,8.571,Organizing Of Groups For Purpose Of Destroying School Properties
S00036,Extortion or blackmailing or attempt,4,3,0,1,8,1,0.567,1,20,2.222,Jumping Over The Fence
S00037,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,5,0,2,1,8,0,0.383,0,40,4.444,Providing/financing Parties For Prohibited Drugs
S00038,Cybersecurity breach (plagiarism),2,1,1,1,5,1,0.367,0,42,7.0,"Engaging Outside Marriage, Obscene And Immoral Conduct In And Off Campus"
S00039,Assault fellow students,6,0,0,1,7,1,0.333,1,25,3.125,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
S00040,Leaving the classroom without permission during class hour and school activity,6,1,0,0,7,1,0.35,0,39,4.875,"Introducing False Information, Accessing Someone Else’s Account And Sending Offensive Email, Etc."
S00041,Cybersecurity breach (plagiarism),6,1,0,1,8,1,0.433,0,38,4.222,"Gross Acts Of Disobedience, Disrespect In Words And In Deeds Which Tend To Put The School Or Any Member Of The Administration, Faculty, Staff And Maintenance Or Students In Ridicule Or Contempt"
S00042,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",4,0,2,1,7,0,0.35,0,48,6.0,Jumping Over The Fence
S00043,"Display, possession or distribution of pornographic materials, downloading and uploading of pornographic pictures",5,0,1,0,6,1,0.283,1,48,6.857,Lending/borrowing School Id As Pass/for Gate Access
S00044,Providing/financing parties for prohibited drugs,5,1,0,0,6,1,0.317,1,43,6.143,Leaving The Classroom Without Permission During Class Hour And School Activity
S00045,Organizing of groups for purpose of destroying school properties,6,1,0,1,8,1,0.433,1,16,1.778,Public Display Of Affection In Any Places Inside The Campus Or In Social Media
S00046,Colored dyed color/hair/beard,2,0,1,0,3,0,0.133,1,69,17.25,"Shouting, Yelling Boisterously, Jeering, Dropping Insults And Other Noises During Class Sessions, Corridors, Guidance And Public Places"
S00047,Bringing outsiders to school for improper purpose,3,3,1,1,8,1,0.6,0,32,3.556,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
S00048,Lack of respect to faculty/authority,5,3,0,1,9,1,0.6,1,34,3.4,"Wearing Of Plunging Necklines, Backless, Spaghetti Straps, Indecent Attire"
S00049,Public display of affection in any places inside the campus or in social media,6,0,2,1,9,0,0.417,0,32,3.2,Verbal Or Physical Altercation Between Students Or Group Of Students
S00050,Jumping over the fence,5,0,0,0,5,1,0.217,0,37,6.167,"Wearing Of Ripped/distressed Jeans, Crop Top, Sleeveless, Backless, Off-shoulder, See-through Blouses, Spaghetti Strap, Tube Top, Body Cone, Mini Skirt, Open Toe Shoes"
S00051,"Damage, destruction of network, computer or information (e.g., deleting someone else's file)",4,0,0,0,4,1,0.183,0,67,13.4,Consistent Violation Of School Rules And Regulations
S00052,Extortion or blackmailing or attempt,5,1,0,1,7,1,0.4,0,36,4.5,Wearing And Using Of Electronic Headset And/or Audio/electronic Gadgets And Tools During Class Without Teacher's Permission
S00053,Gaining access to the school computer or computer network,5,0,1,1,7,1,0.367,0,36,4.5,Real Acts Of Threat (major/minor) That Constitute Incompatibility
S00054,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,4,0,1,1,6,1,0.333,1,58,8.286,Engaging In Trouble Outside The Campus Endangering The Name Of School
S00055,Wilful and malicious damage of the property of any member of school community,1,0,1,0,2,1,0.15,1,96,32.0,Promoting Or Participating In Immoral/indecent Conduct On Or Off Campus
S00056,Extortion or blackmailing or attempt,3,1,1,0,5,1,0.317,1,69,11.5,"Insubordination To Authorities, Supervisors, And Personnel, Faculty Members Verbally, In Writing, Physically And Slander/oral Defamation"
S00057,"Grave threat on any student, personnel or administrator",3,2,1,0,6,1,0.417,1,43,6.143,Students/fellow Students - Verbally/written
S00058,"Falsification of official documents, test papers, clearances and confidential",3,1,0,1,5,1,0.333,0,54,9.0,Bringing Dishonor To The Name Of School
S00059,Extortion or blackmailing or attempt,1,1,1,1,4,1,0.333,0,74,14.8,Forgery
S00060,Shoplifting,3,1,0,1,5,1,0.333,0,67,11.167,"Wearing Of Plunging Necklines, Backless, Spaghetti Straps, Indecent Attire"
S00061,Assault fellow students,3,3,1,1,8,1,0.6,1,32,3.556,"Purchase, Sale Or Distribution Of Alcoholic Beverages Or Cigarettes"
S00062,Bullying (Cyber or otherwise) Faculty members/personnel,5,3,1,1,10,1,0.667,1,17,1.545,Bringing Outsiders To School During School Function/activity
S00063,Placing of stickers and other objects on school ID,6,0,2,1,9,0,0.417,0,17,1.7,Unbecoming Attitude Of An Image As Pitikarts Such As Gossiping In Multi-media To Endanger Others
S00064,Preventing normal operation (e.g. changing the configuration or BIOS setup of computers),1,1,1,1,4,1,0.333,1,59,11.8,Lending/borrowing School Id As Pass/for Gate Access
S00065,"Shouting, yelling boisterously, jeering, dropping insults and other noises during class sessions, corridors, guidance and public places",2,0,0,1,3,0,0.15,0,83,20.75,Colored Nail Polish
S00066,Lack of respect to faculty/authority,1,0,0,0,1,1,0.083,1,100,50.0,"Gross Acts Of Disobedience, Disrespect In Words And In Deeds Which Tend To Put The School Or Any Member Of The Administration, Faculty, Staff And Maintenance Or Students In Ridicule Or Contempt"
S00067,Indecency in media,3,0,0,0,3,0,0.1,0,72,18.0,Jumping Over The Fence
S00068,Public display of affection in any places inside the campus or in social media,1,0,1,0,2,0,0.1,1,96,32.0,Bringing Outsiders To School During School Function/activity
S00069,Colored dyed color/hair/beard,3,0,3,0,6,0,0.3,0,61,8.714,Pushing Of Prohibited Drugs
S00070,Extortion or blackmailing or attempt,4,3,1,0,8,1,0.55,1,28,3.111,Conviction For A Criminal Offense By The Administrator's Judgment
S00071,Use of foul language,6,0,0,1,7,0,0.283,0,42,5.25,"Gross Acts Of Disobedience, Disrespect In Words And In Deeds Which Tend To Put The School Or Any Member Of The Administration, Faculty, Staff And Maintenance Or Students In Ridicule Or Contempt"
S00072,"A student caught lending, borrowing, using another person’s ID/SSP",6,0,0,0,6,0,0.2,0,61,8.714,Cybersecurity Breach (plagiarism)
S00073,"Introduction of improper, foul or indecent language or gesture",6,0,1,1,8,1,0.4,1,33,3.667,Inciting Others To Violate School Regulations Or Not To Attend Classes
S00074,"Cheating in examinations, projects, case reports and research papers of others",6,0,1,0,7,1,0.317,1,56,7.0,Wilful Failure To Comply With Promises Or Notices Issued For Purposes Of Investigation In Connection With Conducted Trial Of Offense
S00075,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",5,0,0,0,5,0,0.167,0,28,4.667,"Wearing Of Heavy Make-up Or Cosmetics (dark Mascara, Eyeliner, Lipsticks, Eye Shadows, Facial Make-up)"
S00076,Viewing pornographic sites on the Internet/websites in the Computer Laboratory,3,1,1,1,6,1,0.4,1,61,8.714,"Falsification Of Official Documents, Test Papers, Clearances And Confidential"
S00077,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",5,0,1,1,7,0,0.317,0,43,5.375,Unexcused Tardiness/absence From Class
S00078,Extortion or blackmailing or attempt,1,2,0,0,3,1,0.283,0,72,18.0,Membership In Sororities And Fraternities
S00079,"Forging signatures of school authorities, parents, guardians or students",5,3,0,0,8,1,0.517,1,31,3.444,"Not Following Prescribed Hair Cut (trendy/punk Haircut, Long Hair And Bearded, Mohawk, Top Knot, Skinhead)"
S00080,Engaging in premarital sex,1,2,0,0,3,1,0.283,0,55,13.75,Circulating Destructive Language And Statement That Is Against The School Through Any Platform
S00081,"Grave threat on any student, personnel or administrator",1,1,0,1,3,1,0.267,0,73,18.25,Lack Of Respect To Faculty/authority
S00082,"Wearing of school uniform/program uniform improperly (e.g. club shirt, outing, internet places)",3,0,1,0,4,0,0.167,0,71,14.2,"Vandalism, Destruction Of School Properties"
S00083,Recruitment and/or membership in sororities and fraternities,2,1,0,1,4,1,0.3,0,81,16.2,Leaving The Classroom Without Permission During Class Hour And School Activity
S00084,Bringing dishonor to the name of school,5,0,0,1,6,1,0.3,1,42,6.0,Bullying (cyber Or Otherwise) Faculty Members/personnel
S00085,Bringing outsiders to school during school function/activity,3,3,0,1,7,1,0.533,0,33,4.125,Assault Fellow Students
S00086,Recruitment and/or membership in sororities and fraternities,4,0,1,0,5,1,0.25,1,53,8.833,"Wearing Of Scarves, Patches, Caps"
S00087,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",6,0,0,0,6,1,0.25,0,55,7.857,"Vandalism, Destruction Of School Properties"
S00088,"Wearing of ripped/distressed jeans, crop top, sleeveless, backless, off-shoulder, see-through blouses, spaghetti strap, tube top, body cone, mini skirt, open toe shoes",2,0,2,0,4,0,0.2,0,75,15.0,"Unauthorized Enrichment Or Stealing Whether Attempted, Frustrated, Or Consummated"
