frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,is_major,no_violation_count,avg_severity,behavior_ratio,will_reoffend_same_violation,next_repeated_violation
12,3,3,2,17,1,0,0.529,12.0,1,Unexcused Tardiness/absence From Class
6,2,5,0,17,0,15,0.529,0.375,1,Unexcused Tardiness/absence From Class
15,0,1,1,5,1,14,0.2,1.0,1,Unexcused Tardiness/absence From Class
6,0,2,1,25,0,2,0.08,2.0,1,Unexcused Tardiness/absence From Class
6,4,8,0,27,0,5,0.593,1.0,1,Unexcused Tardiness/absence From Class
15,5,2,0,18,1,5,0.667,2.5,0,Unexcused Tardiness/absence From Class
1,3,0,0,16,1,8,0.375,0.111,0,Unexcused Tardiness/absence From Class
9,0,7,1,29,0,9,0.241,0.9,0,Unexcused Tardiness/absence From Class
11,4,4,0,19,1,5,0.632,1.833,0,Unexcused Tardiness/absence From Class
18,1,2,1,28,0,0,0.143,18.0,1,Unexcused Tardiness/absence From Class
15,1,0,1,11,0,9,0.182,1.5,1,Unexcused Tardiness/absence From Class
2,5,1,2,10,1,5,1.1,0.333,1,Unexcused Tardiness/absence From Class
19,3,3,2,27,0,13,0.333,1.357,1,Unexcused Tardiness/absence From Class
3,0,3,0,16,0,6,0.188,0.429,0,Unexcused Tardiness/absence From Class
13,4,5,1,22,1,14,0.591,0.867,1,Unexcused Tardiness/absence From Class
12,5,1,2,21,0,8,0.524,1.333,1,Unexcused Tardiness/absence From Class
19,2,7,1,22,0,6,0.5,2.714,1,Unexcused Tardiness/absence From Class
19,3,8,0,5,1,9,2.8,1.9,1,Unexcused Tardiness/absence From Class
15,3,1,0,16,0,0,0.438,15.0,1,Unexcused Tardiness/absence From Class
10,1,2,2,20,0,15,0.2,0.625,1,Unexcused Tardiness/absence From Class
8,3,5,2,16,0,11,0.688,0.667,1,Unexcused Tardiness/absence From Class
6,3,5,2,16,1,12,0.688,0.462,1,Unexcused Tardiness/absence From Class
10,2,7,2,7,0,12,1.571,0.769,1,Unexcused Tardiness/absence From Class
16,2,0,0,29,0,2,0.138,5.333,1,Unexcused Tardiness/absence From Class
18,1,4,0,5,0,13,1.2,1.286,1,Unexcused Tardiness/absence From Class
16,0,3,1,15,1,5,0.2,2.667,1,Unexcused Tardiness/absence From Class
18,0,8,2,11,1,7,0.727,2.25,1,Unexcused Tardiness/absence From Class
