id,offense_description,offense_status
1,Unexcused tardiness/absence from class,0
2,"Wearing inappropriate/incomplete uniform (No validated ID, flat shoes, colored pants, colored t-shirt, no/old socks)",0
3,Wearing of improper and other colored PE uniforms,0
4,"Wearing of ripped/distressed jeans, crop top, sleeveless, backless, off-shoulder, see-through blouses, spaghetti strap, tube top, body cone, mini skirt, open toe shoes",0
5,Wearing of accessories not part of the daily uniform (e.g. multiple pairs of earrings for females),0
6,"Wearing of heavy make-up or cosmetics (dark mascara, eyeliner, lipsticks, eye shadows, facial make-up)",0
7,"Wearing of scarves, patches, caps",0
8,Wearing and using of electronic headset and/or audio/electronic gadgets and tools during class without teacher's permission,0
9,"Wearing of school uniform/program uniform improperly (e.g. club shirt, outing, internet places)",0
10,Colored nail polish,0
11,Colored dyed color/hair/beard,0
12,"Not following prescribed hair cut (trendy/punk haircut, long hair and bearded, mohawk, top knot, skinhead)",0
13,"Not attending school function/activities (Mass/Novena, Program/Forum, Seminar/Symposium, GE/SG, ALC)",0
14,"Shouting, yelling boisterously, jeering, dropping insults and other noises during class sessions, corridors, guidance and public places",0
15,"Littering the campus (candy wrappers, bottles, plastic materials)",0
16,Placing of stickers and other objects on school ID,0
17,Posing of bikini pictures or other videos/body exposure pictures or indecent body pictures,0
18,Public display of affection in any places inside the campus or in social media,0
19,Indecency in media,0
20,Use of foul language,0
21,"A student caught lending, borrowing, using another person’s ID/SSP",0
22,Bullying (Cyber or otherwise) Faculty members/personnel,1
23,Students/fellow students - Verbally/Written,1
24,Students/fellow students - Physically,1
25,Assault fellow students,1
26,Verbal or physical altercation between students or group of students,1
27,"Purchase, sale or distribution of alcoholic beverages or cigarettes",1
28,Posting below or circulating destructive language or signs in the internet or through multimedia,1
29,Unbecoming attitude of an image as Pitikarts such as gossiping in multi-media to endanger others,1
30,"Altering information (e.g., changing the password of someone else's account and accessed data/files beyond authorization)",1
31,Bringing outsiders to school during school function/activity,1
32,Bringing outsiders to school for improper purpose,1
33,Circulating destructive language and statement that is against the school through any platform,1
34,"Cheating in examinations, projects, case reports and research papers of others",1
35,Cybersecurity breach (plagiarism),1
36,Gaining access to the school computer or computer network,1
37,"Damage, destruction of network, computer or information (e.g., deleting someone else's file)",1
38,"Display, possession or distribution of pornographic materials, downloading and uploading of pornographic pictures",1
39,Engaging in any form of gambling,1
40,"Falsification of official documents, test papers, clearances and confidential",1
41,Forgery,1
42,Inciting others to violate school regulations or not to attend classes,1
43,"Introducing false information, accessing someone else’s account and sending offensive email, etc.",1
44,Jumping over the fence,1
45,Leaving the classroom without permission during class hour and school activity,1
46,Lending/borrowing school ID as pass/for gate access,1
47,Unauthorized use of information,1
48,Preventing normal operation (e.g. changing the configuration or BIOS setup of computers),1
49,"Introduction of improper, foul or indecent language or gesture",1
50,Shoplifting,1
51,"Smoking, vaping or possession of cigarettes, drinking hard drinks or liquor in and outside the school campus",1
52,"Stealing property of the school, students, school personnel, and fellow students",1
53,"Unauthorized enrichment or stealing whether attempted, frustrated, or consummated",1
54,"Vandalism, destruction of school properties",1
55,Viewing pornographic sites on the Internet/websites in the Computer Laboratory,1
56,"Wearing of plunging necklines, backless, spaghetti straps, indecent attire",1
57,Wilful and malicious damage of the property of any member of school community,1
58,Wilful failure to comply with promises or notices issued for purposes of investigation in connection with conducted trial of offense,1
59,Engaging in trouble outside the campus endangering the name of school,1
60,"Forging signatures of school authorities, parents, guardians or students",1
61,Gambling/betting in all forms,1
62,Bringing dishonor to the name of school,1
63,"Gross acts of disobedience, disrespect in words and in deeds which tend to put the school or any member of the administration, faculty, staff and maintenance or students in ridicule or contempt",1
64,Extortion or blackmailing or attempt,1
65,"Insubordination to authorities, supervisors, and personnel, faculty members verbally, in writing, physically and slander/oral defamation",1
66,Lack of respect to faculty/authority,1
67,Organizing of groups for purpose of destroying school properties,1
68,Real acts of threat (major/minor) that constitute incompatibility,1
69,Engaging in premarital sex,1
70,"Engaging outside marriage, obscene and immoral conduct in and off campus",1
71,Providing/financing parties for prohibited drugs,1
72,Promoting or participating in immoral/indecent conduct on or off campus,1
73,Recruitment and/or membership in sororities and fraternities,1
74,Pushing of prohibited drugs,1
75,Conviction for a criminal offense by the administrator's judgment,1
76,"Direct assault on the person or any member of the administration, faculty, staff, and/or any person vested with authority",1
77,Membership in sororities and fraternities,1
78,"Possession or use of deadly weapons, explosives, prohibited drugs",1
79,"Grave threat on any student, personnel or administrator",1
80,Using another person's identity,1
81,Consistent violation of school rules and regulations,1
