student_id,frequency,repeated_major_count,repeated_minor_count,ongoing_incident_count,total_incidents,avg_severity,is_major,no_violation_count,behavior_ratio,most_repeated_violation,will_reoffend_same_violation
S00001,2,0,2,1,5,0.42,0,145,0.786,Use of foul language,0
S00002,7,4,3,3,13,0.84,1,19,0.042,Stealing property,0
S00003,8,5,3,0,9,0.89,1,11,0.282,Engaging in immoral conduct,1
S00004,5,4,1,3,12,0.68,1,8,0.095,Engaging in immoral conduct,0
S00005,9,6,3,3,17,0.89,1,31,0.331,Engaging in gambling,1
S00006,9,6,3,2,15,0.63,1,3,0.25,Stealing property,1
S00007,5,2,3,2,8,0.6,1,15,0.026,Bullying,1
S00008,7,5,2,0,11,0.61,1,24,0.173,Gross disrespect to authority,1
S00009,8,5,3,1,10,0.61,1,14,0.205,Engaging in immoral conduct,0
S00010,2,2,0,3,9,0.73,1,23,0.135,Membership in fraternities,1
S00011,5,2,3,0,7,0.82,1,40,0.08,Extortion,0
S00012,5,5,0,0,6,0.97,1,4,0.206,Smoking/Vaping,0
S00013,8,5,3,1,12,0.92,1,34,0.27,Engaging in gambling,1
S00014,1,0,1,2,8,0.4,0,200,0.572,Public display of affection,0
S00015,6,5,1,0,7,0.92,1,3,0.313,Engaging in gambling,1
S00016,3,1,2,2,9,0.99,1,26,0.202,Engaging in immoral conduct,1
S00017,9,6,3,3,17,1.0,1,2,0.096,Membership in fraternities,1
S00018,5,2,3,0,9,0.62,1,30,0.221,Gross disrespect to authority,1
S00019,4,3,1,2,9,0.94,1,25,0.239,Extortion,0
S00020,4,2,2,3,8,0.73,1,4,0.285,Engaging in immoral conduct,1
S00021,5,3,2,3,12,0.95,1,28,0.138,Vandalism,1
S00022,3,2,1,3,8,0.7,1,32,0.291,Smoking/Vaping,1
S00023,7,4,3,2,14,0.77,1,0,0.223,Membership in fraternities,1
S00024,1,1,0,0,6,0.93,1,9,0.022,Cheating in examinations,0
S00025,3,1,2,1,5,0.39,0,116,0.721,Littering the campus,0
S00026,4,4,0,1,10,0.82,1,25,0.117,Vandalism,1
S00027,7,6,1,1,10,0.61,1,37,0.144,Stealing property,1
S00028,4,2,2,1,8,0.32,0,131,0.499,Use of foul language,1
S00029,2,1,1,0,7,0.72,1,30,0.263,Engaging in immoral conduct,1
S00030,7,5,2,0,8,0.79,1,15,0.159,Membership in fraternities,1
S00031,1,1,0,2,5,0.86,1,37,0.1,Forgery,0
S00032,4,4,0,2,7,0.66,1,22,0.043,Extortion,1
S00033,3,2,1,1,9,0.46,0,33,0.762,Public display of affection,0
S00034,3,3,0,1,7,0.93,1,26,0.052,Engaging in immoral conduct,1
S00035,7,5,2,1,11,0.67,1,13,0.228,Smoking/Vaping,1
S00036,1,1,0,3,6,0.61,1,22,0.248,Membership in fraternities,1
S00037,6,4,2,1,12,0.7,1,40,0.115,Cheating in examinations,0
S00038,5,2,3,2,12,0.64,1,29,0.057,Smoking/Vaping,0
S00039,7,4,3,3,13,0.96,1,16,0.14,Gross disrespect to authority,0
S00040,6,2,4,0,8,0.31,0,180,0.773,Littering the campus,0
S00041,6,6,0,1,10,0.62,1,6,0.038,Cheating in examinations,1
S00042,4,4,0,1,7,0.7,1,37,0.031,Vandalism,1
S00043,2,1,1,0,5,0.66,1,36,0.293,Cheating in examinations,1
S00044,7,6,1,1,12,0.83,1,10,0.175,Membership in fraternities,0
S00045,7,5,2,2,12,0.83,1,21,0.21,Membership in fraternities,1
S00046,8,5,3,2,14,0.61,1,30,0.319,Cheating in examinations,1
S00047,2,0,2,0,5,0.3,0,194,0.409,Use of foul language,0
S00048,3,0,3,0,7,0.11,0,83,0.406,Use of foul language,0
S00049,2,1,1,2,9,0.86,1,7,0.177,Smoking/Vaping,1
S00050,3,1,2,3,10,0.99,1,2,0.062,Bullying,0
S00051,0,0,0,1,3,0.21,0,46,0.666,Use of foul language,0
S00052,6,5,1,3,11,0.86,1,23,0.207,Stealing property,1
S00053,5,2,3,2,9,0.67,1,11,0.055,Bullying,0
S00054,2,1,1,2,7,0.39,0,125,0.679,Unexcused tardiness/absence from class,1
S00055,7,5,2,1,12,0.63,1,24,0.051,Smoking/Vaping,1
S00056,3,0,3,0,4,0.19,0,90,0.435,Wearing inappropriate/incomplete uniform,0
S00057,2,2,0,2,8,0.26,0,20,0.781,Littering the campus,0
S00058,5,2,3,2,10,0.46,0,190,0.409,Littering the campus,0
S00059,4,3,1,0,8,0.96,1,33,0.035,Membership in fraternities,1
S00060,2,2,0,2,7,0.73,1,12,0.342,Gross disrespect to authority,1
S00061,2,0,2,0,6,0.27,0,168,0.618,Littering the campus,0
S00062,8,6,2,2,12,0.82,1,37,0.192,Cheating in examinations,1
S00063,5,1,4,0,6,0.26,0,94,0.487,Use of foul language,0
S00064,8,5,3,3,16,0.86,1,17,0.334,Forgery,1
S00065,5,5,0,3,9,0.86,1,7,0.186,Bullying,0
S00066,8,5,3,3,14,0.99,1,33,0.305,Engaging in gambling,1
S00067,1,0,1,2,5,0.48,0,42,0.748,Littering the campus,0
S00068,5,1,4,0,6,0.31,0,137,0.611,Littering the campus,0
S00069,6,6,0,0,11,0.94,1,18,0.034,Membership in fraternities,0
S00070,6,6,0,0,7,0.61,1,11,0.189,Stealing property,1
