complaint_id,description,violation_category
C00001,nakita ko na nagdala ng cellphone kahit bawal sa canteen. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C00002,nagreport si teacher na nang-insulto ng teacher sa library. (indecency in media),Indecency in Media
C00003,may nagsumbong na nagpost ng bastos na picture sa gym. (drug pushing),Drug Pushing
C00004,nagreport si teacher na naglagay ng sticker sa ID sa classroom. (wearing heavy make-up),Wearing Heavy Make-up
C00005,According to CCTV footage nangopya sa library. (failure to comply with investigation),Failure to Comply with Investigation
C00006,nahuli siya na uminom ng alak sa canteen. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C00007,nagreport si teacher na nagdala ng cellphone kahit bawal sa canteen. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C00008,may nagsumbong na nangopya sa hallway. (membership in fraternities),Membership in Fraternities
C00009,nagreport si teacher na nagyoyosi sa computer lab. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C00010,Based on teacher's report nakipagsuntukan sa gym. (lack of respect to faculty),Lack of Respect to Faculty
C00011,The student was observed naka improper uniform sa computer lab. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C00012,As stated in the complaint uminom ng alak malapit sa gate. (bullying students physically),Bullying Students Physically
C00013,may nagsumbong na nakipagsuntukan sa canteen. (posting indecent pictures online),Posting Indecent Pictures Online
C00014,Based on teacher's report walang suot na ID sa computer lab. (unauthorized access to school computer),Unauthorized Access to School Computer
C00015,nahuli siya na nagpost ng bastos na picture sa library. (using gadgets without permission),Using Gadgets Without Permission
C00016,nakita ko na nagche-cheat sa exam sa library. (bullying students physically),Bullying Students Physically
C00017,It was reported that nagdala ng cellphone kahit bawal sa canteen. (inciting others to break rules),Inciting Others to Break Rules
C00018,Based on teacher's report nag-aaway sa hallway. (indecency in media),Indecency in Media
C00019,nahuli siya na sumisigaw sa classroom. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C00020,The student was caught sumisigaw sa gym. (organizing destructive groups),Organizing Destructive Groups
C00021,nahuli siya na nagpost ng bastos na picture sa computer lab. (wearing school uniform improperly),Wearing School Uniform Improperly
C00022,The student was caught nagyoyosi malapit sa gate. (posting indecent pictures online),Posting Indecent Pictures Online
C00023,nahuli siya na naka improper uniform malapit sa gate. (posting destructive language online),Posting Destructive Language Online
C00024,According to CCTV footage nakipagsuntukan malapit sa gate. (vandalism),Vandalism
